ID	GO_ID	Expression_profile	T30
PTET.51.1.G0180051		Late induction	22,90571245
PTET.51.1.G0180052	GO:0006094	Early repression	1489,753217
PTET.51.1.G0180053		none	49,73769239
PTET.51.1.G0180054		none	31,00279827
PTET.51.1.G0180055	GO:0006355	none	67,79895527
PTET.51.1.G0180056		Early repression	5154,12247
PTET.51.1.G0180057		none	29,05611881
PTET.51.1.G0180058		none	16,43066073
PTET.51.1.G0180059		none	194,4924725
PTET.51.1.G0180060		none	44,26928695
PTET.51.1.G0180061	GO:0006412	none	6094,771328
PTET.51.1.G0180062		none	157,0248372
PTET.51.1.G0180063		none	30,36450537
PTET.51.1.G0180064		none	0
PTET.51.1.G0180065		none	225,2494216
PTET.51.1.G0180066	GO:0001510	Intermediate peak	820,9533889
PTET.51.1.G0180067	GO:0006468	none	150,0304124
PTET.51.1.G0180068		none	4739,017738
PTET.51.1.G0180069		none	14,08723641
PTET.51.1.G0180070		none	76,51238815
PTET.51.1.G0180071	GO:0006464	none	27,94783927
PTET.51.1.G0180072		none	39,01275847
PTET.51.1.G0180073		Late induction	72,99749776
PTET.51.1.G0180074		none	79,67021344
PTET.51.1.G0180075		none	48,24267208
PTET.51.1.G0180076		none	21,5081913
PTET.51.1.G0180077		none	0
PTET.51.1.G0180078		none	405,6889877
PTET.51.1.G0180079		none	144,3194646
PTET.51.1.G0180080		none	7,112406663
PTET.51.1.G0180081		Late induction	461,8415715
PTET.51.1.G0180082	GO:0070588	Intermediate peak	22,46987764
PTET.51.1.G0180083		none	206,2381256
PTET.51.1.G0180084		Late repression	770,2367376
PTET.51.1.G0180085		Early peak	120,0099378
PTET.51.1.G0180086		none	5,462397791
PTET.51.1.G0180087		Late induction	167,5075031
PTET.51.1.G0180088	GO:0006468	none	56,31235541
PTET.51.1.G0180089		none	149,4913355
PTET.51.1.G0180090		Late repression	161,9247862
PTET.51.1.G0180091		none	109,6808946
PTET.51.1.G0180092		Late repression	584,269826
PTET.51.1.G0180093		none	1107,411372
PTET.51.1.G0180094		Intermediate peak	94,98640141
PTET.51.1.G0180095		none	17,95466404
PTET.51.1.G0180096		none	111,269043
PTET.51.1.G0180097		none	12,80884842
PTET.51.1.G0180098		Early repression	447,7768331
PTET.51.1.G0180099		none	215,9925961
PTET.51.1.G0180100		none	67,24762932
PTET.51.1.G0180101	GO:0006468	none	113,4498003
PTET.51.1.G0180102	GO:0006281	Early peak	66,77834298
PTET.51.1.G0180103	GO:0006508	Early repression	677,1611197
PTET.51.1.G0180104		none	23,1998468
PTET.51.1.G0180105	GO:0015031	none	4976,322119
PTET.51.1.G0180106		Intermediate peak	1844,028951
PTET.51.1.G0180107		none	15,36299379
PTET.51.1.G0180108		none	157,2487764
PTET.51.1.G0180109		Late induction	278,6547971
PTET.51.1.G0180110		none	0
PTET.51.1.G0180111	GO:0006412	none	20006,78079
PTET.51.1.G0180112		Intermediate peak	1520,671201
PTET.51.1.G0180113	GO:0006412	Early repression	64038,0154
PTET.51.1.G0180114		Late induction	309,5676792
PTET.51.1.G0180115		Late induction	48,33948012
PTET.51.1.G0180116		none	0
PTET.51.1.G0180117	GO:0006468	Early peak	52,27307253
PTET.51.1.G0180118	GO:0006414	none	81362,20679
PTET.51.1.G0180119		none	0
PTET.51.1.G0180120		none	76,2446063
PTET.51.1.G0180121	GO:0000042	none	338,1977667
PTET.51.1.G0180122		none	206,06787
PTET.51.1.G0180123		Late induction	477,5054391
PTET.51.1.G0180124		Intermediate peak	371,2121154
PTET.51.1.G0180125	GO:0000226	Early peak	53,09242855
PTET.51.1.G0180126		Late peak	31,35250446
PTET.51.1.G0180127	GO:0006468	none	178,1752066
PTET.51.1.G0180128	GO:0006412	none	9036,549965
PTET.51.1.G0180129		none	16,88493523
PTET.51.1.G0180130		Early repression	162,0678391
PTET.51.1.G0180131		none	1368,265098
PTET.51.1.G0180132		none	8,823873355
PTET.51.1.G0180133		none	179,8333951
PTET.51.1.G0180134	GO:0006457	Early peak	31,46064551
PTET.51.1.G0180135		none	48,10013691
PTET.51.1.G0180136	GO:0006412	Early repression	3837,897915
PTET.51.1.G0180137	GO:0030036	Early repression	1734,055098
PTET.51.1.G0180138		none	88,988683
PTET.51.1.G0180139	GO:0045454	none	645,8422683
PTET.51.1.G0180140		Late induction	48,63770462
PTET.51.1.G0180141		none	1,153511936
PTET.51.1.G0180142		none	0
PTET.51.1.G0180143		none	0
PTET.51.1.G0180144		none	246,8218786
PTET.51.1.G0180145	GO:0006511	none	416,2176004
PTET.51.1.G0180146	GO:0006468	Intermediate peak	2404,840044
PTET.51.1.G0180147		Late repression	89,66350576
PTET.51.1.G0180148		Early peak	111,4151028
PTET.51.1.G0180149		none	3107,586737
PTET.51.1.G0180150		Early repression	201,9899705
PTET.51.1.G0180151		Late induction	326,1996198
PTET.51.1.G0180152		none	1710,725719
PTET.51.1.G0180153	GO:0015991	Late induction	570,9884082
PTET.51.1.G0180154		Late induction	106,3757026
PTET.51.1.G0180155	GO:0006468	none	101,8877461
PTET.51.1.G0180156	GO:0006396	none	23,56648178
PTET.51.1.G0180157		none	0
PTET.51.1.G0180158	GO:0006596	Early repression	141,0098005
PTET.51.1.G0180159		none	94,98017279
PTET.51.1.G0180160		none	47,14124121
PTET.51.1.G0180161		Early peak	168,1008869
PTET.51.1.G0180162		none	780,4592283
PTET.51.1.G0180163		Early peak	167,3750784
